Bill,Date,Chamber,Action,Webpage Title
SB1536,2/4/2025,Senate,First Reading,Illinois General Assembly - Bill Status for SB1536
SB1536,2/4/2025,Senate,Referred to Assignments,Illinois General Assembly - Bill Status for SB1536
SB1536,4/1/2025,Senate,Added as Chief Co-Sponsor Sen. Graciela Guzmán,Illinois General Assembly - Bill Status for SB1536
SB1849,2/6/2025,Senate,Filed with Secretary by Sen. Mary Edly-Allen,Illinois General Assembly - Bill Status for SB1849
SB1849,2/6/2025,Senate,First Reading,Illinois General Assembly - Bill Status for SB1849
SB1849,2/6/2025,Senate,Referred to Assignments,Illinois General Assembly - Bill Status for SB1849
SB2257,2/7/2025,Senate,Filed with Secretary by Sen. Robert Peters,Illinois General Assembly - Bill Status for SB2257
SB2257,2/7/2025,Senate,First Reading,Illinois General Assembly - Bill Status for SB2257
SB2257,2/7/2025,Senate,Referred to Assignments,Illinois General Assembly - Bill Status for SB2257
SB2257,3/28/2025,Senate,Added as Co-Sponsor Sen. Graciela Guzmán,Illinois General Assembly - Bill Status for SB2257
